group_id	items_in_group	lo_value	p	FDR	goodsgrna
HPRT1	12	3.1175e-45	2.5936e-07	0.000134	12
ITGB1	8	4.8659e-17	2.5936e-07	0.000134	8
SRGAP2	7	5.8243e-15	2.5936e-07	0.000134	7
ACTR3C	7	7.3364e-15	2.5936e-07	0.000134	7
PPP1R17	7	8.3588e-15	2.5936e-07	0.000134	7
ACSBG1	7	1.1587e-14	2.5936e-07	0.000134	7
CALM2	6	7.3746e-13	2.5936e-07	0.000134	6
AKTIP	6	8.4454e-13	2.5936e-07	0.000134	6
TCF21	6	3.0705e-12	2.5936e-07	0.000134	6
KIFAP3	6	3.1086e-12	2.5936e-07	0.000134	6
AUTS2	6	3.1763e-12	2.5936e-07	0.000134	6
FMN2	6	2.8896e-11	2.5936e-07	0.000134	6
ISLR2	5	5.9127e-11	2.5936e-07	0.000134	5
FCGR1B	5	7.5333e-11	2.5936e-07	0.000134	5
OSBPL3	5	1.0418e-10	2.5936e-07	0.000134	5
SH2D1A	5	1.0842e-10	2.5936e-07	0.000134	5
TOR1AIP1	5	1.5441e-10	2.5936e-07	0.000134	5
CALCRL	5	1.6805e-10	2.5936e-07	0.000134	5
LRRC42	5	1.8516e-10	2.5936e-07	0.000134	5
EVA1B	5	1.8771e-10	2.5936e-07	0.000134	5
negative31	11	5.0307e-09	2.5936e-07	0.000134	9
ZNF683	4	5.4833e-09	2.5936e-07	0.000134	4
C4BPB	4	6.3533e-09	2.5936e-07	0.000134	4
PPIP5K2	4	6.3710e-09	2.5936e-07	0.000134	4
IL17RC	4	6.8066e-09	2.5936e-07	0.000134	4
ATP6V0C	4	7.6425e-09	2.5936e-07	0.000134	4
VIT	4	7.9515e-09	2.5936e-07	0.000134	4
SPSB2	4	8.2482e-09	2.5936e-07	0.000134	4
NHLRC4	4	8.6641e-09	2.5936e-07	0.000134	4
GMEB1	4	9.2819e-09	2.5936e-07	0.000134	4
NEK11	4	1.0081e-08	2.5936e-07	0.000134	4
KIF27	4	1.0257e-08	2.5936e-07	0.000134	4
MEP1B	4	1.0359e-08	2.5936e-07	0.000134	4
FKBP7	4	1.0694e-08	2.5936e-07	0.000134	4
GALK2	4	1.3900e-08	2.5936e-07	0.000134	4
MID1	4	1.4188e-08	2.5936e-07	0.000134	4
SLK	4	1.6477e-08	2.5936e-07	0.000134	4
LAS1L	4	2.9437e-08	7.7809e-07	0.000391	4
SLC25A44	3	3.3452e-07	4.4092e-06	0.002158	3
RBPJ	3	4.5306e-07	4.9279e-06	0.002351	3
STXBP5	3	4.9144e-07	5.4467e-06	0.002475	3
PTAFR	3	5.2827e-07	5.4467e-06	0.002475	3
DLGAP1	3	5.6434e-07	5.9654e-06	0.002648	3
SLC23A3	3	6.8814e-07	7.0028e-06	0.003038	3
HSPH1	3	7.2206e-07	7.5216e-06	0.003121	3
PRDM16	3	8.0443e-07	7.5216e-06	0.003121	3
LTA	3	8.6720e-07	8.0403e-06	0.003265	3
HYI	3	1.0042e-06	9.5965e-06	0.003663	3
STEAP2	3	1.0117e-06	9.5965e-06	0.003663	3
SH3BP2	3	1.0325e-06	9.5965e-06	0.003663	3
CPN2	3	1.1164e-06	1.0115e-05	0.003786	3
ASB15	3	1.1366e-06	1.0634e-05	0.003870	3
ZMAT4	3	1.1529e-06	1.1153e-05	0.003870	3
ITPRIPL1	3	1.1756e-06	1.1153e-05	0.003870	3
CACNB1	3	1.1922e-06	1.1153e-05	0.003870	3
CNBP	3	1.3977e-06	1.2709e-05	0.004332	3
RAB18	3	1.4881e-06	1.3228e-05	0.004429	3
GPR1	3	1.8208e-06	1.6340e-05	0.005377	3
ABCC4	3	2.8917e-06	2.6196e-05	0.008475	3
OR4D6	11	3.3133e-06	3.0346e-05	0.009653	11
negative67	11	4.0893e-06	3.6052e-05	0.011080	10
TMEM116	4	4.1516e-06	3.6052e-05	0.011080	3
ST3GAL3	3	4.2237e-06	3.6570e-05	0.011080	3
negative71	11	5.5103e-06	4.7464e-05	0.014155	8
FGF13	10	1.1203e-05	8.4812e-05	0.024905	4
ZMYM5	12	1.1928e-05	8.7925e-05	0.025196	11
AR	10	1.2027e-05	8.8443e-05	0.025196	8
SI	12	1.3605e-05	1.0141e-04	0.028465	9
RAD54L2	10	1.9396e-05	1.3824e-04	0.038241	8
negative70	12	2.0478e-05	1.4550e-04	0.039675	10
POTEA	10	2.1412e-05	1.5432e-04	0.041487	9
TAS2R4	9	2.2939e-05	1.6677e-04	0.044211	9
