group_id	items_in_group	lo_value	p	FDR	goodsgrna
THAP11	10	1.5596e-08	5.1873e-07	0.004455	10
MAK16	12	4.4624e-08	1.5562e-06	0.004455	12
CPSF6	7	4.6853e-08	1.8156e-06	0.004455	7
MROH8	9	1.0999e-07	1.8156e-06	0.004455	9
IGBP1	10	1.2055e-07	1.8156e-06	0.004455	10
RHBDL1	9	1.4007e-07	1.8156e-06	0.004455	9
IKBKAP	11	2.3658e-07	2.3343e-06	0.004455	8
UTP15	12	2.5537e-07	2.3343e-06	0.004455	10
RPL7L1	10	3.0301e-07	2.3343e-06	0.004455	10
RPF1	10	3.0910e-07	2.3343e-06	0.004455	10
ELP4	12	5.7537e-07	4.9279e-06	0.008551	11
CEP72	9	6.5825e-07	5.9654e-06	0.009488	9
BST2	9	8.1150e-07	7.0028e-06	0.010282	8
CPSF1	12	9.5291e-07	9.5965e-06	0.013083	12
BUD31	11	1.1036e-06	1.2709e-05	0.014026	11
NUDT21	8	1.1466e-06	1.2709e-05	0.014026	8
EEF1A1	12	1.1768e-06	1.2709e-05	0.014026	11
CHAF1B	10	1.2957e-06	1.3228e-05	0.014026	7
DBT	10	1.8864e-06	1.7896e-05	0.017978	10
RFC3	12	2.1012e-06	1.9452e-05	0.018564	9
RPN1	11	2.2143e-06	2.0490e-05	0.018623	10
RUVBL1	11	2.9282e-06	2.4121e-05	0.019208	10
SNAPC5	6	2.9396e-06	2.4121e-05	0.019208	6
RNF113A	12	3.1190e-06	2.4640e-05	0.019208	10
ENO1	12	3.2501e-06	2.5158e-05	0.019208	11
CYB5B	8	3.7770e-06	3.0346e-05	0.019973	7
MIS18BP1	9	3.8651e-06	3.0346e-05	0.019973	8
CCDC127	8	3.8712e-06	3.0346e-05	0.019973	8
NDUFAB1	6	3.8884e-06	3.0346e-05	0.019973	5
CBS	10	4.4914e-06	3.3458e-05	0.020760	10
RSL24D1	8	4.4927e-06	3.3717e-05	0.020760	8
GTF2A1	7	6.1714e-06	5.2132e-05	0.030140	7
RPS10-NUDT3	9	6.2395e-06	5.2651e-05	0.030140	9
MRPL45	11	6.4049e-06	5.3689e-05	0.030140	9
POLR2L	9	6.6426e-06	5.5763e-05	0.030410	9
FAM50A	8	6.8951e-06	5.7838e-05	0.030666	8
RPS13	10	7.3872e-06	6.2507e-05	0.032245	10
CYCS	11	7.5611e-06	6.6138e-05	0.033113	11
MRPL28	11	8.0081e-06	7.2363e-05	0.033113	11
PHB2	9	8.0710e-06	7.2363e-05	0.033113	8
EFNA3	3	8.6579e-06	7.4438e-05	0.033113	3
GATS	8	8.7081e-06	7.4438e-05	0.033113	8
MRPL57	9	8.8029e-06	7.4956e-05	0.033113	9
TRIAP1	12	9.2976e-06	7.7031e-05	0.033113	11
NBN	7	9.5225e-06	7.8069e-05	0.033113	7
SAMM50	12	1.0739e-05	8.5850e-05	0.035622	10
PGGT1B	10	1.2345e-05	9.5187e-05	0.037642	10
KANSL2	11	1.2482e-05	9.6743e-05	0.037642	9
NUP107	10	1.2519e-05	9.7262e-05	0.037642	10
C12orf45	8	1.3155e-05	1.0037e-04	0.037642	8
AGAP5	9	1.3416e-05	1.0089e-04	0.037642	7
SON	10	1.3890e-05	1.0401e-04	0.037642	10
GINS1	9	1.3946e-05	1.0452e-04	0.037642	9
DTYMK	10	1.4290e-05	1.0764e-04	0.038045	9
POLA2	9	1.5095e-05	1.1334e-04	0.039334	8
SETD1A	8	1.5730e-05	1.1697e-04	0.039691	8
RPL5	8	1.5850e-05	1.1853e-04	0.039691	8
FAU	8	1.6174e-05	1.2164e-04	0.040010	8
CTC1	11	1.6682e-05	1.2475e-04	0.040010	11
EXOSC3	10	1.7111e-05	1.2631e-04	0.040010	9
SF3A2	7	1.7488e-05	1.2787e-04	0.040010	7
POLD3	9	1.8901e-05	1.3980e-04	0.043037	9
VPS11	10	1.9429e-05	1.4498e-04	0.043816	10
URB2	11	1.9812e-05	1.4810e-04	0.043816	11
GAPDH	9	1.9947e-05	1.4965e-04	0.043816	9
MFSD10	11	2.0164e-05	1.5277e-04	0.043816	11
GCFC2	7	2.0274e-05	1.5380e-04	0.043816	4
MRPS23	11	2.2492e-05	1.6937e-04	0.047539	11
